Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,1408,5020,117,21066,"8121,58","18,111%","5,16642","3,08","0,61","610,4"
user_info_2,1368,4632,118,21063,"7773,47","16,009%","5,22347","4,13","1,05","810,3"
user_info_3,1337,4785,118,295074,"11082,23","15,856%","2,45365","1,74","0,49","725,5"
object_info_1,1298,4631,118,21067,"7842,58","16,564%","4,77715","2,91","0,63","623,6"
object_info_2,1266,4268,118,21065,"7525,19","14,297%","4,87236","3,68","0,66","773,7"
object_info_3,1230,4692,117,21065,"7939,89","17,317%","4,68880","4,06","0,62","886,2"
object_info_4,1193,4689,117,21066,"7992,34","17,770%","4,65625","3,00","0,61","658,8"
TOTAL,9100,4679,117,295074,"8421,67","16,560%","16,69017","11,83","2,52","725,6"
