Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
get_method,1634,6733,117,423776,"17367,22","28,703%","3,67751","3,12","0,38","868,6"
user_info_2,1608,6469,119,423763,"14031,90","28,607%","3,62035","3,82","0,62","1079,7"
user_info_3,1580,6229,118,21063,"9421,38","28,734%","10,61707","10,51","1,81","1013,2"
object_info_1,1558,6614,117,423742,"14177,46","28,947%","3,51012","3,15","0,39","917,8"
object_info_2,1486,5895,119,21067,"9239,73","26,918%","8,76624","8,93","1,02","1043,5"
object_info_3,1289,4230,117,21061,"8209,32","19,162%","7,60970","6,87","0,98","924,6"
object_info_4,1170,2914,117,21058,"6985,76","12,821%","7,27607","3,85","1,01","541,6"
TOTAL,10325,5731,117,423776,"12252,54","25,482%","23,23765","21,02","3,12","926,1"
